epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3375,1.14582,2.83514,1.4505,0.45564,0.45154,0.44478,0.28312,1.39053,1.94873,1.75831,0.000332036,0.000332036,0.000332036
2,141.916,1.24826,1.90902,1.51178,0.29956,0.37955,0.27867,0.1426,1.65988,3.12748,1.9842,0.000652195,0.000652195,0.000652195
3,211.118,1.30593,1.96867,1.55275,0.39199,0.38865,0.37786,0.22346,1.5437,2.15969,1.90781,0.000959154,0.000959154,0.000959154
4,280.793,1.26475,1.86792,1.52771,0.43184,0.42238,0.44181,0.27286,1.45365,2.03549,1.81217,0.0009406,0.0009406,0.0009406
5,353.132,1.19972,1.68589,1.48215,0.53987,0.56254,0.56738,0.38935,1.25087,1.55953,1.58563,0.0009208,0.0009208,0.0009208
6,430.709,1.13421,1.55462,1.42891,0.6893,0.57213,0.66069,0.44216,1.22348,1.33185,1.5508,0.000901,0.000901,0.000901
7,506.126,1.11237,1.50265,1.41008,0.67734,0.59673,0.68264,0.48413,1.16903,1.25705,1.51603,0.0008812,0.0008812,0.0008812
8,590.993,1.08435,1.40879,1.38016,0.67707,0.60069,0.65205,0.45195,1.16642,1.30765,1.49885,0.0008614,0.0008614,0.0008614
9,673.966,1.05582,1.35868,1.35818,0.74702,0.67448,0.75659,0.55222,1.09758,1.14246,1.43734,0.0008416,0.0008416,0.0008416
10,761.302,1.03028,1.26904,1.33884,0.75422,0.67225,0.76057,0.55105,1.07657,1.08736,1.41631,0.0008218,0.0008218,0.0008218
11,846.46,1.00551,1.21467,1.32423,0.68962,0.64652,0.72414,0.52801,1.0618,1.19965,1.40263,0.000802,0.000802,0.000802
12,933.532,0.98044,1.17652,1.30824,0.82445,0.70025,0.80838,0.61083,1.01183,0.93421,1.35497,0.0007822,0.0007822,0.0007822
13,1019.98,0.96055,1.1485,1.29374,0.78559,0.65666,0.77498,0.58241,1.02128,0.97989,1.3448,0.0007624,0.0007624,0.0007624
14,1106.94,0.95149,1.1102,1.28811,0.80594,0.73894,0.83813,0.6241,1.0006,0.89474,1.33077,0.0007426,0.0007426,0.0007426
15,1193.22,0.93647,1.06975,1.27537,0.81701,0.78194,0.84983,0.64679,0.95757,0.83678,1.309,0.0007228,0.0007228,0.0007228
16,1279.53,0.90681,1.00059,1.25319,0.75549,0.80321,0.83295,0.6412,0.95084,0.81251,1.27997,0.000703,0.000703,0.000703
17,1365.94,0.9095,1.01049,1.26319,0.7523,0.76637,0.8244,0.62889,0.96303,0.88332,1.3173,0.0006832,0.0006832,0.0006832
18,1452.84,0.88813,0.9493,1.2429,0.76385,0.78855,0.84146,0.64027,0.94054,0.83534,1.28397,0.0006634,0.0006634,0.0006634
19,1540.66,0.86094,0.90862,1.22533,0.86143,0.78789,0.87619,0.68364,0.92437,0.75564,1.27499,0.0006436,0.0006436,0.0006436
20,1628.62,0.87505,0.92253,1.2318,0.85622,0.79114,0.87501,0.68555,0.89661,0.74332,1.25164,0.0006238,0.0006238,0.0006238
21,1716.1,0.85914,0.8894,1.2246,0.85926,0.79781,0.88099,0.68422,0.89388,0.75972,1.24023,0.000604,0.000604,0.000604
22,1799.22,0.849,0.87695,1.21164,0.8623,0.78968,0.88478,0.68968,0.90397,0.70108,1.26048,0.0005842,0.0005842,0.0005842
23,1880.26,0.82488,0.84433,1.19446,0.8213,0.83115,0.88591,0.69988,0.88628,0.68865,1.24608,0.0005644,0.0005644,0.0005644
24,1962.93,0.81823,0.82126,1.19566,0.86978,0.82911,0.89454,0.70786,0.88285,0.66302,1.24155,0.0005446,0.0005446,0.0005446
25,2045.84,0.80021,0.80695,1.18021,0.87256,0.81916,0.90077,0.71362,0.85556,0.66596,1.214,0.0005248,0.0005248,0.0005248
26,2132.68,0.79686,0.79029,1.18179,0.86385,0.80599,0.88472,0.71072,0.84614,0.69266,1.21018,0.000505,0.000505,0.000505
27,2218.18,0.78807,0.76937,1.17539,0.8878,0.83158,0.90602,0.72627,0.85766,0.64422,1.22374,0.0004852,0.0004852,0.0004852
28,2304.34,0.77788,0.7556,1.16269,0.87005,0.83946,0.91257,0.72713,0.86738,0.63359,1.22126,0.0004654,0.0004654,0.0004654
29,2390.68,0.77707,0.73943,1.16319,0.87237,0.83724,0.91576,0.74024,0.84088,0.62073,1.20442,0.0004456,0.0004456,0.0004456
30,2476.38,0.7655,0.7099,1.15452,0.87925,0.87432,0.92659,0.74744,0.82223,0.58662,1.18928,0.0004258,0.0004258,0.0004258
31,2560.74,0.75156,0.70313,1.14923,0.88975,0.84153,0.91171,0.73731,0.82724,0.60193,1.19501,0.000406,0.000406,0.000406
32,2646.6,0.77089,0.71254,1.1565,0.88898,0.851,0.91491,0.75554,0.81078,0.59439,1.17685,0.0003862,0.0003862,0.0003862
33,2732.63,0.74199,0.68052,1.13898,0.87596,0.856,0.91584,0.75037,0.80339,0.58729,1.17989,0.0003664,0.0003664,0.0003664
34,2818.63,0.73414,0.67139,1.13221,0.87478,0.89178,0.93851,0.76694,0.80781,0.56375,1.17805,0.0003466,0.0003466,0.0003466
35,2906.47,0.72412,0.65856,1.12728,0.9112,0.87414,0.93049,0.76559,0.79743,0.56295,1.1708,0.0003268,0.0003268,0.0003268
36,2994.28,0.72559,0.64091,1.13565,0.90656,0.87077,0.9374,0.76826,0.80073,0.55228,1.17266,0.000307,0.000307,0.000307
